celda;Aporte_FA_Voz;Aporte_Drops_Voz;Drops;Dropstotal;Trafico_Total
FGC001A;;0.00;0;2604;13633.24006571807
FGC001B;;0.00;0;2604;13633.24006571807
FGC001C;;0.00;0;2604;13633.24006571807
GGC001A;;0.00;0;2604;13633.24006571807
GGC001B;;0.27;7;2604;13633.24006571807
GGC001C;;0.04;1;2604;13633.24006571807
GGC002A;;0.35;9;2604;13633.24006571807
GGC002B;;0.35;9;2604;13633.24006571807
GGC002C;;0.12;3;2604;13633.24006571807
GGC003A;;0.58;15;2604;13633.24006571807
GGC003B;;0.08;2;2604;13633.24006571807
GGC003C;;0.04;1;2604;13633.24006571807
GGC004A;;1.11;29;2604;13633.24006571807
GGC004B;;0.27;7;2604;13633.24006571807
GGC004C;;0.35;9;2604;13633.24006571807
GGC005A;;1.31;34;2604;13633.24006571807
GGC005B;;0.12;3;2604;13633.24006571807
GGC005C;;0.61;16;2604;13633.24006571807
GGC007A;;0.65;17;2604;13633.24006571807
GGC007B;;3.49;91;2604;13633.24006571807
GGC007C;;1.77;46;2604;13633.24006571807
GGC008A;;2.04;53;2604;13633.24006571807
GGC008B;;0.77;20;2604;13633.24006571807
GGC008C;;0.00;0;2604;13633.24006571807
GGC011A;;0.08;2;2604;13633.24006571807
GGC011B;;0.00;0;2604;13633.24006571807
GGC011C;;0.04;1;2604;13633.24006571807
GGC012A;;0.42;11;2604;13633.24006571807
GGC012B;;0.50;13;2604;13633.24006571807
GGC012C;;0.15;4;2604;13633.24006571807
GGC013A;;0.12;3;2604;13633.24006571807
GGC013B;;0.19;5;2604;13633.24006571807
GGC013C;;0.04;1;2604;13633.24006571807
GGC014A;;0.46;12;2604;13633.24006571807
GGC014B;;0.58;15;2604;13633.24006571807
GGC014C;;0.31;8;2604;13633.24006571807
GGC015A;;0.08;2;2604;13633.24006571807
GGC015B;;0.54;14;2604;13633.24006571807
GGC015C;;0.08;2;2604;13633.24006571807
GGC016A;;0.04;1;2604;13633.24006571807
GGC016B;;0.15;4;2604;13633.24006571807
GGC016C;;0.00;0;2604;13633.24006571807
GGC306A;;0.27;7;2604;13633.24006571807
GGC306B;;0.15;4;2604;13633.24006571807
GGC306C;;0.73;19;2604;13633.24006571807
GGC310A;;0.00;0;2604;13633.24006571807
GGC310B;;0.23;6;2604;13633.24006571807
GGC310C;;0.38;10;2604;13633.24006571807
GGW003A;;0.19;5;2604;13633.24006571807
GGW003B;;1.11;29;2604;13633.24006571807
GGW003C;;0.31;8;2604;13633.24006571807
GGW005A;;1.15;30;2604;13633.24006571807
GGW005B;;1.92;50;2604;13633.24006571807
GGW005C;;4.22;110;2604;13633.24006571807
GGW006A;;0.00;0;2604;13633.24006571807
GGW006B;;0.00;0;2604;13633.24006571807
GGW006C;;0.00;0;2604;13633.24006571807
GGW008A;;0.00;0;2604;13633.24006571807
GGW008B;;0.00;0;2604;13633.24006571807
GGW008C;;0.00;0;2604;13633.24006571807
GGW033A;;1.61;42;2604;13633.24006571807
GGW033B;;2.65;69;2604;13633.24006571807
GGW033C;;0.35;9;2604;13633.24006571807
GGW034A;;0.31;8;2604;13633.24006571807
GGW034B;;1.61;42;2604;13633.24006571807
GGW034C;;0.54;14;2604;13633.24006571807
GGW038A;;0.27;7;2604;13633.24006571807
GGW038B;;1.31;34;2604;13633.24006571807
GGW038C;;2.04;53;2604;13633.24006571807
GGW040A;;1.31;34;2604;13633.24006571807
GGW040B;;1.19;31;2604;13633.24006571807
GGW040C;;0.92;24;2604;13633.24006571807
LGC001A;;0.00;0;2604;13633.24006571807
LGC001B;;0.04;1;2604;13633.24006571807
LGC001C;;0.00;0;2604;13633.24006571807
LGC002A;;0.04;1;2604;13633.24006571807
LGC002B;;0.00;0;2604;13633.24006571807
LGC002C;;0.08;2;2604;13633.24006571807
LGC003A;;0.00;0;2604;13633.24006571807
LGC003B;;0.00;0;2604;13633.24006571807
